Model,Fuel Type,Mileage,Owner,Location,Price
Tata Indigo Ecs (2010),PETROL,65000.0 KM,2nd,"Shastri Nagar, Delhi","₹ 1,10,000"
Maruti Suzuki Swift Dzire (2018),DIESEL,32000.0 KM,1st,"SR Nagar Colony, Tiruchirappalli","₹ 7,90,000"
Maruti Suzuki Ertiga (2018),DIESEL,48000.0 KM,1st,"Noida Extension, Noida","₹ 7,35,000"
Hyundai I10 (2013),PETROL,68000.0 KM,2nd,"Rohini, Delhi","₹ 2,25,000"
Tata Nano (2015),PETROL,22000.0 KM,1st,"Sikar Industrial Area, Sikar","₹ 1,10,000"
Maruti Suzuki Alto K10 (2018),PETROL,8697 KM,First,"Kodigehalli, Bengaluru","₹ 3,20,000"
Maruti Suzuki Swift Dzire (2014),DIESEL,85080.0 KM,1st,"Bowenpally, Hyderabad","₹ 5,20,000"
Mahindra Tuv 300 (2016),DIESEL,51000.0 KM,1st,"Borivali West, Mumbai","₹ 6,65,000"
Maruti Suzuki Celerio (2017),PETROL,41000.0 KM,1st,"Rohini Sector 4, Delhi","₹ 4,25,000"
Maruti Suzuki Alto 800 (2015),PETROL,46000.0 KM,2nd,"Sikar Industrial Area, Sikar","₹ 2,65,000"
Tata Sumo Victa (2012),DIESEL,"127,418 KM",2nd,"Kadirvedu Rajaji Nagar, Chennai","₹ 2,00,000"
Ford Ecosport (2017),DIESEL,57000.0 KM,1st,"Adajan, Surat","₹ 7,30,000"
Mahindra Xuv500 (2017),DIESEL,22000.0 KM,1st,"Borivali West, Mumbai","₹ 13,40,000"
Hyundai Eon (2017),PETROL,0 KM,1st,"Ahmedpur Kalan, Bhopal","₹ 2,90,000"
Volkswagen Vento (2011),PETROL,67000.0 KM,1st,"Sushant Lok, Gurgaon","₹ 2,55,000"
Toyota Fortuner (2015),DIESEL,128000.0 KM,1st,"Kirti Nagar, Delhi","₹ 16,50,000"
Skoda Rapid (2016),DIESEL,62000.0 KM,2nd,"Sikar Industrial Area, Sikar","₹ 6,50,000"
Hyundai I10 (2010),PETROL,76000.0 KM,1st,"Sushant Lok, Gurgaon","₹ 1,80,000"
Skoda Rapid (2014),PETROL,68000.0 KM,1st,"Sushant Lok, Gurgaon","₹ 3,95,000"
Tata Tiago (2018),PETROL,36130.0 KM,1st,"Palarivattom, Kochi","₹ 5,30,000"
Maruti Suzuki A-Star (2010),PETROL,44250.0 KM,1st,"Palagachha, Chakdah","₹ 1,35,000"
Maruti Suzuki Wagon R 1.0 (2016),PETROL,68000.0 KM,3rd,"Civil Lines South, Muzaffarnagar","₹ 3,00,000"
Hyundai Santro Xing (2006),PETROL,69836.0 KM,2nd,"Nagole, Hyderabad","₹ 1,55,000"
Mahindra Xuv500 (2015),DIESEL,55000.0 KM,1st,"Borivali West, Mumbai","₹ 10,35,000"
Mahindra Xuv500 (2016),DIESEL,47000.0 KM,1st,"Borivali West, Mumbai","₹ 9,75,000"
Hyundai Elite I20 (2018),PETROL,19000.0 KM,1st,"Adabari, Guwahati","₹ 6,10,000"
Mercedes-Benz E-Class (2009),PETROL,65000.0 KM,3rd,"Ashok Vihar, Delhi","₹ 9,50,000"
Maruti Suzuki Alto 800 (2016),PETROL,62000.0 KM,2nd,"Lohia Nagar, Ghaziabad","₹ 2,25,000"
Maruti Suzuki Alto 800 (2013),PETROL,55640.0 KM,1st,"Uppal, Hyderabad","₹ 2,35,000"
Volkswagen Vento (2012),DIESEL,55000.0 KM,1st,"Karol Bagh, Delhi","₹ 3,40,000"
Tata Nano (2013),PETROL,46000.0 KM,1st,"Kodambakkam Trustpuram, Chennai","₹ 1,14,999"
Mahindra Bolero (2012),DIESEL,185000.0 KM,1st,"Ashok Nagar Near Chandan Nagar, Pune","₹ 4,25,000"
Ford Fiesta (2010),DIESEL,139000.0 KM,3rd,"Ashok Nagar Near Chandan Nagar, Pune","₹ 2,00,000"
Toyota Innova (2012),DIESEL,114000.0 KM,3rd,"Kharadi, Pune","₹ 5,30,000"
Tata Safari Storme (2012),DIESEL,80000.0 KM,1st,"Darshan Vihar, Delhi","₹ 4,00,000"
Honda Civic (2010),PETROL,60000.0 KM,1st,"Jaripatka, Nagpur","₹ 2,95,000"
Maruti Suzuki Ertiga (2017),DIESEL,103000.0 KM,1st,"Kharadi, Pune","₹ 6,60,000"
Chevrolet Beat (2015),DIESEL,45000.0 KM,1st,"Majura Gate, Surat","₹ 1,95,000"
Toyota Innova (2014),DIESEL,72000.0 KM,2nd,"Karol Bagh, Delhi","₹ 8,22,000"
Bmw X1 (2018),DIESEL,52000.0 KM,1st,"Vasant Kunj, Delhi","₹ 27,75,000"
Mahindra Xuv500 (2014),DIESEL,60000.0 KM,2nd,"Rajouri Garden, Delhi","₹ 5,50,000"
Chevrolet Sail (2013),DIESEL,79000.0 KM,1st,"Vikaspuri, Delhi","₹ 1,75,000"
Hyundai I10 (2015),CNG & HYBRIDS,76000.0 KM,1st,"Shahdara, Delhi","₹ 3,35,000"
Maruti Suzuki Alto 800 (2015),PETROL,20000.0 KM,1st,"Badarpur, Delhi","₹ 2,65,000"
Ford Ecosport (2015),DIESEL,63000.0 KM,1st,"Jhilmil Colony, Delhi","₹ 5,60,000"
Land Rover Range Rover Evoque (2017),DIESEL,29500.0 KM,1st,"South Extension, Delhi","₹ 37,50,000"
Volkswagen Polo (2010),PETROL,57000.0 KM,1st,"Rajouri Garden, Delhi","₹ 2,40,000"
Honda City (2011),PETROL,"52,000 KM",1st,"Ramesh Nagar, Delhi","₹ 3,05,000"
Maruti Suzuki Celerio (2017),PETROL,41000.0 KM,1st,"Rohini Sector 4, Delhi","₹ 4,25,000"
Renault Duster (2012),DIESEL,65000.0 KM,2nd,"Karol Bagh, Delhi","₹ 3,25,000"
Volkswagen Vento (2012),DIESEL,55000.0 KM,1st,"Karol Bagh, Delhi","₹ 3,40,000"
Ford Ecosport (2014),DIESEL,54000.0 KM,1st,"Preet Vihar, Delhi","₹ 5,50,000"
Tata Safari (2012),DIESEL,75000.0 KM,1st,"Sarita Vihar, Delhi","₹ 1,99,000"
Mahindra Xuv500 (2012),DIESEL,65000.0 KM,2nd,"Preet Vihar, Delhi","₹ 5,00,000"
Tata Safari Storme (2013),DIESEL,65000.0 KM,1st,"Azadpur, Delhi","₹ 5,55,000"
Land Rover Range Rover Evoque (2017),DIESEL,22000.0 KM,1st,"Kirti Nagar, Delhi","₹ 46,90,000"
Hyundai Santro Xing (2014),PETROL,39000.0 KM,1st,"Rohini Sector 2, Delhi","₹ 2,75,000"
Toyota Etios Liva (2015),PETROL,57585.0 KM,1st,"Badarpur, Delhi","₹ 3,65,000"
Audi A4 (2013),DIESEL,94000.0 KM,2nd,"Lodhi Road, Delhi","₹ 8,99,000"
Hyundai I20 (2013),DIESEL,74000.0 KM,1st,"Laxmi Nagar, Delhi","₹ 2,97,000"
Hyundai I20 (2013),PETROL,57112.0 KM,1st,"Prashant Vihar, Delhi","₹ 3,70,000"
Nissan Sunny (2013),DIESEL,62000.0 KM,1st,"Karol Bagh, Delhi","₹ 2,99,000"
Ford Endeavour (2011),DIESEL,110000.0 KM,4th,"RK Puram, Delhi","₹ 5,50,000"
Ford Mustang (2017),PETROL,16000.0 KM,2nd,"Green Park, Delhi","₹ 70,50,000"
Skoda Rapid (2015),PETROL,51000.0 KM,1st,"Rajouri Garden, Delhi","₹ 5,20,000"
Maruti Suzuki Ertiga (2018),CNG & HYBRIDS,60000.0 KM,1st,"Karkar Duma, Delhi","₹ 8,20,000"
Honda Jazz (2017),PETROL,44000.0 KM,1st,"Badarpur, Delhi","₹ 6,35,000"
Maruti Suzuki Swift (2013),DIESEL,60000.0 KM,1st,"Jhandewalan, Delhi","₹ 3,49,000"
Ford Ecosport (2019),PETROL,5000.0 KM,1st,"Rajouri Garden, Delhi","₹ 9,90,000"
Volkswagen Vento (2015),DIESEL,47000.0 KM,2nd,"Kirti Nagar, Delhi","₹ 5,00,000"
Toyota Innova Crysta (2018),DIESEL,55000.0 KM,1st,"South Extension, Delhi","₹ 18,15,000"
Hyundai I10 (2013),PETROL,68000.0 KM,2nd,"Rohini, Delhi","₹ 2,25,000"
Toyota Fortuner (2015),DIESEL,128000.0 KM,1st,"Kirti Nagar, Delhi","₹ 16,50,000"
Maruti Suzuki Ignis (2018),PETROL,48000.0 KM,1st,"Subhash Nagar, Delhi","₹ 4,70,000"
Maruti Suzuki Wagon R (2015),CNG & HYBRIDS,72452.0 KM,1st,"Badarpur, Delhi","₹ 2,90,000"
Mahindra Bolero (2013),DIESEL,65000.0 KM,1st,"Lalita Park, Delhi","₹ 4,50,000"
Nissan Terrano (2015),DIESEL,89000.0 KM,1st,"Pitampura, Delhi","₹ 5,50,000"
Volkswagen Polo (2015),DIESEL,59251.0 KM,--,"Dwarka, Delhi","₹ 3,94,000"
Toyota Yaris (2018),PETROL,21633.0 KM,--,"Pitampura, Delhi","₹ 8,72,000"
Maruti Suzuki Ertiga (2020),PETROL,5000.0 KM,1st,"Rohini, Delhi","₹ 8,35,000"
Honda City (2009),PETROL,52655.0 KM,1st,"Jhandewalan, Delhi","₹ 2,35,000"
Renault Duster (2016),DIESEL,57000.0 KM,1st,"Kirti Nagar, Delhi","₹ 6,15,000"
Renault Duster (2015),DIESEL,50000.0 KM,1st,"Pitampura, Delhi","₹ 5,90,000"
Toyota Corolla Altis (2015),DIESEL,28000.0 KM,1st,"South Extension, Delhi","₹ 11,25,000"
Maruti Suzuki Ertiga (2014),DIESEL,55588.0 KM,1st,"Jhandewalan, Delhi","₹ 5,00,000"
Ford Ecosport (2018),PETROL,26000.0 KM,1st,"Karkar Duma, Delhi","₹ 8,20,000"
Hyundai Grand I10 (2015),PETROL,26000.0 KM,1st,"Rohini Sector 2, Delhi","₹ 4,00,000"
Maruti Suzuki Swift Dzire (2016),CNG & HYBRIDS,65000.0 KM,1st,"Rohini, Delhi","₹ 4,25,000"
Bmw X5 (2017),DIESEL,51000.0 KM,1st,"Lajpat Nagar 2, Delhi","₹ 44,90,000"
Volkswagen Polo (2017),PETROL,29000.0 KM,1st,"Rajouri Garden, Delhi","₹ 4,90,000"
Ford Endeavour (2017),DIESEL,60000.0 KM,1st,"Paschim Vihar, Delhi","₹ 24,99,999"
Bmw 5 Series (2018),DIESEL,39000.0 KM,1st,"Ashok Vihar, Delhi","₹ 42,00,000"
Maruti Suzuki Swift Dzire (2016),PETROL,8400.0 KM,1st,"Geeta Colony, Delhi","₹ 4,99,000"
Honda Wr-V (2018),DIESEL,58000.0 KM,1st,"Dilshad Garden, Delhi","₹ 8,25,000"
Bmw 5 Series (2013),DIESEL,52999.0 KM,1st,"ITO, Delhi","₹ 14,75,099"
Honda City (2018),PETROL,74000.0 KM,1st,"Karkar Duma, Delhi","₹ 8,75,000"
Maruti Suzuki Swift Dzire (2018),DIESEL,36585.0 KM,1st,"Badarpur, Delhi","₹ 6,45,000"
Maruti Suzuki Vitara Brezza (2016),DIESEL,62704.0 KM,--,"Pitampura, Delhi","₹ 7,14,000"
Maruti Suzuki Vitara Brezza (2017),DIESEL,69000.0 KM,1st,"Jhandewalan, Delhi","₹ 7,15,000"
Maruti Suzuki Swift (2015),DIESEL,26000.0 KM,2nd,"Shalimar Bagh, Delhi","₹ 4,10,000"
Mahindra Thar (2019),DIESEL,19000.0 KM,1st,"Karkar Duma, Delhi","₹ 9,50,000"
Volkswagen Polo (2017),PETROL,51000.0 KM,1st,"Rajouri Garden, Delhi","₹ 5,35,000"
Toyota Innova Crysta (2016),DIESEL,112000.0 KM,1st,"Badarpur, Delhi","₹ 14,99,000"
Hyundai Creta (2015),DIESEL,53000.0 KM,1st,"Badarpur, Delhi","₹ 8,25,000"
Tata Safari Storme (2012),DIESEL,80000.0 KM,1st,"Darshan Vihar, Delhi","₹ 4,00,000"
Toyota Corolla Altis (2018),PETROL,19000.0 KM,1st,"Karkar Duma, Delhi","₹ 14,10,000"
Toyota Innova (2014),DIESEL,72000.0 KM,2nd,"Karol Bagh, Delhi","₹ 8,22,000"
Hyundai I20 (2011),PETROL,48000.0 KM,1st,"Jhandewalan, Delhi","₹ 2,40,000"
Maruti Suzuki Vitara Brezza (2018),DIESEL,29000.0 KM,1st,"Rohini Sector 2, Delhi","₹ 8,25,000"
Honda Brio (2013),PETROL,64000.0 KM,1st,"Shakarpur, Delhi","₹ 3,24,999"
Nissan Terrano (2015),DIESEL,89000.0 KM,1st,"Dhaula Kuan, Delhi","₹ 5,50,000"
Toyota Corolla Altis (2009),CNG & HYBRIDS,75000.0 KM,4th,"Pitampura, Delhi","₹ 1,69,000"
Volkswagen Vento (2011),PETROL,42000.0 KM,2nd,"Safdarjung, Delhi","₹ 2,80,000"
Maruti Suzuki Celerio (2018),PETROL,15000.0 KM,1st,"Paschim Vihar, Delhi","₹ 4,95,000"
Maruti Suzuki Ritz (2010),PETROL,71000.0 KM,1st,"Mayur Vihar, Delhi","₹ 2,25,008"
Ford Ecosport (2013),--,61000.0 KM,1st,"Preet Vihar, Delhi","₹ 5,25,000"
Toyota Fortuner (2013),DIESEL,93575.0 KM,2nd,"Rajouri Garden, Delhi","₹ 12,65,000"
Honda Amaze (2013),PETROL,56000.0 KM,2nd,"Paschim Vihar, Delhi","₹ 3,25,000"
Maruti Suzuki Wagon R (2016),CNG & HYBRIDS,47000.0 KM,1st,"Karampura, Delhi","₹ 3,25,000"
Ford Ecosport (2017),PETROL,44672.0 KM,1st,"Lajpat Nagar 1, Delhi","₹ 7,95,000"
Renault Duster (2017),DIESEL,40000.0 KM,2nd,"Pitampura, Delhi","₹ 6,60,000"
Tata Safari (2011),DIESEL,61000.0 KM,1st,"Kirti Nagar, Delhi","₹ 2,80,000"
Toyota Innova (2015),DIESEL,120000.0 KM,1st,"Mayur Vihar, Delhi","₹ 9,50,000"
Honda City (2013),PETROL,57000.0 KM,2nd,"Laxmi Nagar, Delhi","₹ 4,50,000"
Hyundai I20 (2010),PETROL,75000.0 KM,1st,"Kirti Nagar, Delhi","₹ 2,21,000"
Maruti Suzuki Swift Dzire (2016),PETROL,32000.0 KM,1st,"Badarpur, Delhi","₹ 4,90,000"
Hyundai Grand I10 (2019),PETROL,30000.0 KM,2nd,"Kirti Nagar, Delhi","₹ 4,90,000"
Honda Brio (2012),PETROL,41000.0 KM,1st,"Kirti Nagar, Delhi","₹ 2,72,000"
Maruti Suzuki Ertiga (2016),PETROL,65000.0 KM,1st,"Lalita Park, Delhi","₹ 6,10,000"
Bmw 5 Series (2011),DIESEL,80000.0 KM,1st,"Jangpura, Delhi","₹ 10,99,999"
Maruti Suzuki Ertiga (2017),DIESEL,24000 KM,First,"Lajpat Nagar 1, Delhi","₹ 7,50,000"
Ford Figo Aspire (2016),DIESEL,58000.0 KM,1st,"Lajpat Nagar 2, Delhi","₹ 3,90,000"
Maruti Suzuki Swift Dzire (2012),DIESEL,69000.0 KM,--,"Karol Bagh, Delhi","₹ 2,80,000"
Chevrolet Beat (2013),DIESEL,61000.0 KM,1st,"Jhandewalan, Delhi","₹ 1,75,000"
Mercedes-Benz E-Class (2009),PETROL,65000.0 KM,3rd,"Ashok Vihar, Delhi","₹ 9,50,000"
Audi A6 (2012),DIESEL,60000.0 KM,1st,"Lajpat Nagar 1, Delhi","₹ 11,50,000"
Mahindra Xuv500 (2012),DIESEL,67000.0 KM,1st,"Rohini Sector 7, Delhi","₹ 5,25,000"
Maruti Suzuki Sx4 (2012),DIESEL,54000.0 KM,1st,"Pitampura, Delhi","₹ 3,25,000"
Maruti Suzuki Ciaz (2015),DIESEL,55000.0 KM,2nd,"Pitampura, Delhi","₹ 5,60,000"
Maruti Suzuki Swift (2014),PETROL,56000.0 KM,2nd,"ITO, Delhi","₹ 3,40,000"
Mahindra Xuv500 (2013),DIESEL,62000.0 KM,1st,"Keshav Puram, Delhi","₹ 5,85,000"
Toyota Etios (2011),PETROL,86000.0 KM,1st,"Ashok Vihar, Delhi","₹ 2,90,000"
Fiat Punto (2011),DIESEL,28000.0 KM,1st,"Karol Bagh, Delhi","₹ 1,90,000"
Maruti Suzuki Swift Dzire (2010),PETROL,41000.0 KM,1st,"Karol Bagh, Delhi","₹ 2,00,000"
Mahindra Xuv500 (2018),DIESEL,11500.0 KM,1st,"Mayur Vihar, Delhi","₹ 13,85,000"
Hyundai I20 (2014),DIESEL,66000.0 KM,1st,"Kirti Nagar, Delhi","₹ 4,15,000"
Ford Ecosport (2016),PETROL,29000.0 KM,1st,"Rajouri Garden, Delhi","₹ 5,80,000"
Maruti Suzuki Swift Dzire (2012),DIESEL,70000.0 KM,1st,"Karol Bagh, Delhi","₹ 2,40,000"
Hyundai I10 (2011),PETROL,37000.0 KM,1st,"Kirti Nagar, Delhi","₹ 1,98,000"
Hyundai Verna (2013),PETROL,62000.0 KM,2nd,"Pitampura, Delhi","₹ 4,80,000"
Volkswagen Polo (2014),PETROL,91000.0 KM,1st,"Kirti Nagar, Delhi","₹ 4,80,000"
Maruti Suzuki Swift (2015),DIESEL,39000.0 KM,2nd,"New Rajdhani Enclave, Delhi","₹ 3,85,000"
Hyundai I10 (2012),CNG & HYBRIDS,53000.0 KM,2nd,"Rohini Sector 3, Delhi","₹ 1,95,000"
Hyundai Elite I20 (2018),PETROL,29000.0 KM,1st,"Mayur Vihar, Delhi","₹ 6,90,000"
Skoda Rapid (2015),DIESEL,75698.0 KM,1st,"Badarpur, Delhi","₹ 4,75,000"
Audi A6 (2014),DIESEL,38000.0 KM,2nd,"Naraina, Delhi","₹ 14,50,000"
Hyundai I10 (2012),PETROL,57000.0 KM,1st,"New Moti Nagar, Delhi","₹ 2,90,000"
Maruti Suzuki Sx4 (2014),DIESEL,59250.0 KM,1st,"Tilak Nagar, Delhi","₹ 2,99,000"
Hyundai Creta (2015),DIESEL,87585.0 KM,1st,"Badarpur, Delhi","₹ 8,45,000"
Hyundai I20 (2015),DIESEL,63586.0 KM,1st,"Badarpur, Delhi","₹ 5,25,000"
Maruti Suzuki Vitara Brezza (2018),DIESEL,70000.0 KM,1st,"Badarpur, Delhi","₹ 7,90,000"
Maruti Suzuki Zen Estilo (2012),CNG & HYBRIDS,71081.0 KM,1st,"Rohini Sector 4, Delhi","₹ 1,80,000"
Jaguar Xf (2013),DIESEL,79000.0 KM,2nd,"Rajouri Garden, Delhi","₹ 14,25,000"
Maruti Suzuki Celerio (2014),PETROL,52000.0 KM,1st,"Preet Vihar, Delhi","₹ 2,85,000"
Hyundai Santro Xing (2007),PETROL,64000.0 KM,1st,"Pushp Vihar, Delhi","₹ 99,000"
Hyundai I10 (2007),PETROL,70000.0 KM,1st,"Pushp Vihar, Delhi","₹ 92,000"
Ford Ecosport (2015),DIESEL,57000.0 KM,1st,"Preet Vihar, Delhi","₹ 5,70,000"
Tata Tiago (2019),DIESEL,20000.0 KM,1st,"Peera Garhi, Delhi","₹ 4,75,000"
Mahindra Xuv500 (2013),DIESEL,65000.0 KM,1st,"Inderlok, Delhi","₹ 5,80,000"
Mitsubishi Outlander (2010),PETROL,51234.0 KM,1st,"Delhi Cantonment, Delhi","₹ 3,99,000"
Ford Figo (2013),DIESEL,62555.0 KM,1st,"Karol Bagh, Delhi","₹ 2,10,000"
Hyundai Xcent (2017),DIESEL,47000.0 KM,1st,"Kalkaji, Delhi","₹ 4,90,000"
Volkswagen Polo (2017),PETROL,45000.0 KM,1st,"Punjabi Bagh East, Delhi","₹ 4,75,000"
Honda City (2015),DIESEL,52000.0 KM,1st,"Krishna Nagar, Delhi","₹ 5,75,000"
Hyundai I20 (2011),PETROL,52552.0 KM,1st,"Jhandewalan, Delhi","₹ 2,35,000"
Lexus Nx (2018),PETROL,44000.0 KM,1st,"Vasant Kunj, Delhi","₹ 49,50,000"
Maruti Suzuki Wagon R 1.0 (2014),CNG & HYBRIDS,114247.0 KM,1st,"Dwarka Sector 20, Delhi","₹ 2,79,600"
Mercedes-Benz Gle Class (2018),DIESEL,32000.0 KM,1st,"Ashok Vihar, Delhi","₹ 48,00,000"
Toyota Corolla Altis (2017),PETROL,50000.0 KM,1st,"Ashok Vihar, Delhi","₹ 11,75,000"
Skoda Octavia (2016),DIESEL,53000 KM,First,"Ashok Vihar, Delhi","₹ 11,95,000"
Maruti Suzuki Swift (2006),CNG & HYBRIDS,88000.0 KM,4th,"Vikaspuri, Delhi","₹ 72,000"
Hyundai Accent (2005),PETROL,42000.0 KM,2nd,"Rajouri Garden, Delhi","₹ 1,50,000"
Honda City (2018),PETROL,45000.0 KM,1st,"Lajpat Nagar 1, Delhi","₹ 8,50,000"
Hyundai I20 Active (2016),PETROL,45153.0 KM,1st,"Lajpat Nagar 1, Delhi","₹ 5,70,000"
Hyundai I10 (2016),CNG & HYBRIDS,42300.0 KM,1st,"Laxmi Nagar, Delhi","₹ 3,50,000"
Skoda Superb (2012),PETROL,55200.0 KM,1st,"Laxmi Nagar, Delhi","₹ 4,95,000"
Volkswagen Polo (2017),DIESEL,52000.0 KM,1st,"Preet Vihar, Delhi","₹ 5,25,000"
Honda Civic (2010),PETROL,62000.0 KM,1st,"Punjabi Bagh West, Delhi","₹ 2,80,000"
Hyundai Creta (2021),PETROL,180.0 KM,1st,"Karkar Duma, Delhi","₹ 16,00,000"
Audi Q7 (2012),DIESEL,125000.0 KM,1st,"Karol Bagh, Delhi","₹ 18,45,000"
Mahindra Xuv500 (2015),DIESEL,40000.0 KM,1st,"Shakarpur, Delhi","₹ 9,74,999"
Maruti Suzuki Zen Estilo (2011),PETROL,49800.0 KM,1st,"ITO, Delhi","₹ 1,75,000"
Maruti Suzuki Swift (2016),PETROL,40000.0 KM,1st,"Patparganj, Delhi","₹ 4,35,000"
Honda City (2008),PETROL,67615.0 KM,1st,"Lajpat Nagar 1, Delhi","₹ 2,70,000"
Maruti Suzuki Vitara Brezza (2017),DIESEL,50000.0 KM,1st,"Kirti Nagar, Delhi","₹ 7,25,000"
Bmw 3 Series Gt (2019),DIESEL,32000.0 KM,1st,"Vikaspuri, Delhi","₹ 35,75,000"
Maruti Suzuki Swift Dzire (2017),DIESEL,65000.0 KM,1st,"Geeta Colony, Delhi","₹ 4,40,000"
Audi A4 (2013),DIESEL,34000.0 KM,2nd,"Ashok Vihar, Delhi","₹ 14,00,000"
Audi A8 (2015),DIESEL,41000.0 KM,1st,"South Extension, Delhi","₹ 48,50,000"
Volkswagen Polo (2017),DIESEL,65000.0 KM,1st,"Mayur Vihar Phase 1, Delhi","₹ 5,50,000"
Audi A4 (2015),PETROL,88000.0 KM,1st,"Lajpat Nagar 2, Delhi","₹ 15,75,000"
Kia Seltos (2019),DIESEL,31000.0 KM,1st,"Lajpat Nagar 2, Delhi","₹ 16,10,000"
Maruti Suzuki Eeco (2018),CNG & HYBRIDS,36000.0 KM,1st,"Dilshad Garden, Delhi","₹ 3,75,000"
Maruti Suzuki Ertiga (2012),DIESEL,52111.0 KM,1st,"Jhandewalan, Delhi","₹ 4,10,000"
Toyota Fortuner (2011),DIESEL,82000.0 KM,1st,"Karol Bagh, Delhi","₹ 8,80,000"
Bmw 5 Series (2014),DIESEL,50000.0 KM,2nd,"Kirti Nagar, Delhi","₹ 19,50,000"
Audi Q7 (2011),DIESEL,88000.0 KM,2nd,"Karol Bagh, Delhi","₹ 15,15,000"
Toyota Corolla Altis (2009),PETROL,80000.0 KM,3rd,"Krishna Nagar, Delhi","₹ 3,25,000"
Hyundai Santro (2008),PETROL,55000.0 KM,1st,"Karol Bagh, Delhi","₹ 1,45,000"
Mahindra Scorpio (2012),DIESEL,60000.0 KM,4th,"ITO, Delhi","₹ 3,25,000"
Audi A6 (2013),DIESEL,59800.0 KM,3rd,"Rajouri Garden, Delhi","₹ 11,90,000"
Mercedes-Benz Cla (2019),DIESEL,4000.0 KM,1st,"Ashok Vihar, Delhi","₹ 30,50,000"
Volkswagen Polo (2016),DIESEL,63000.0 KM,1st,"Netaji Subhash Place, Delhi","₹ 4,10,000"
Maruti Suzuki Vitara Brezza (2017),DIESEL,50000.0 KM,1st,"Rajouri Garden, Delhi","₹ 7,25,000"
Bmw 5 Series (2017),DIESEL,75000.0 KM,1st,"Rajouri Garden, Delhi","₹ 30,00,000"
Mercedes-Benz Gla Class (2015),PETROL,14000.0 KM,1st,"Kalkaji, Delhi","₹ 18,90,000"
Mahindra Xuv500 (2015),DIESEL,70000.0 KM,2nd,"Lajpat Nagar 1, Delhi","₹ 9,50,000"
Mahindra Scorpio (2013),DIESEL,66200.0 KM,1st,"Lajpat Nagar 1, Delhi","₹ 4,90,000"
Mercedes-Benz E-Class (2012),DIESEL,53000.0 KM,2nd,"Karol Bagh, Delhi","₹ 11,25,000"
Hyundai I10 (2013),CNG & HYBRIDS,55000.0 KM,1st,"Rohini Sector 4, Delhi","₹ 2,55,000"
Mahindra Xuv500 (2014),DIESEL,61456.0 KM,1st,"Delhi Cantonment, Delhi","₹ 5,50,000"
Hyundai Santro Xing (2013),PETROL,20500.0 KM,1st,"Jhandewalan, Delhi","₹ 2,71,000"
Maruti Suzuki Ertiga (2012),DIESEL,58988.0 KM,1st,"Jhandewalan, Delhi","₹ 3,75,000"
Maruti Suzuki Ertiga (2019),PETROL,27000.0 KM,1st,"Mayur Vihar, Delhi","₹ 8,79,000"
Maruti Suzuki Swift Dzire (2017),DIESEL,67000.0 KM,1st,"Sarita Vihar, Delhi","₹ 4,99,000"
Hyundai Fluidic Verna (2014),DIESEL,45000.0 KM,1st,"Karkar Duma, Delhi","₹ 5,00,000"
Hyundai Verna (2013),PETROL,61000.0 KM,1st,"New Seelampur, Delhi","₹ 5,25,000"
Toyota Fortuner (2013),DIESEL,116000.0 KM,1st,"Connaught Place, Delhi","₹ 13,25,000"
Honda Civic (2007),PETROL,67000.0 KM,1st,"Karol Bagh, Delhi","₹ 1,70,000"
Mahindra Xuv500 (2017),DIESEL,28000 KM,First,"Lajpat Nagar 1, Delhi","₹ 14,00,000"
Ford Ecosport (2016),DIESEL,66500.0 KM,1st,"Jhandewalan, Delhi","₹ 5,99,999"
Toyota Innova Crysta (2019),DIESEL,37000.0 KM,1st,"Nauroji Nagar, Delhi","₹ 17,45,000"
Maruti Suzuki Sx4 (2013),DIESEL,75000.0 KM,1st,"Pitampura, Delhi","₹ 3,25,000"
Kia Seltos (2019),PETROL,38000.0 KM,1st,"Karkar Duma, Delhi","₹ 14,00,000"
Maruti Suzuki Wagon R 1.0 (2015),PETROL,52000.0 KM,1st,"Sarita Vihar, Delhi","₹ 2,95,000"
Hyundai Grand I10 (2015),PETROL,40000.0 KM,1st,"Defence Colony, Delhi","₹ 3,85,000"
Bmw X3 (2014),DIESEL,63361.0 KM,1st,"Lajpat Nagar 1, Delhi","₹ 16,50,000"
Toyota Innova (2013),DIESEL,90000.0 KM,2nd,"Lajpat Nagar 1, Delhi","₹ 6,60,000"
Honda Amaze (2013),DIESEL,75000.0 KM,1st,"Kirti Nagar, Delhi","₹ 3,10,000"
Tata Safari Storme (2015),DIESEL,62000.0 KM,1st,"Punjabi Bagh East, Delhi","₹ 5,90,000"
Hyundai I10 (2012),PETROL,65000.0 KM,1st,"Shahdara, Delhi","₹ 2,35,000"
Mahindra Xuv500 (2014),DIESEL,77268.0 KM,1st,"RK Puram, Delhi","₹ 6,70,000"
Ford Ecosport (2016),PETROL,46000.0 KM,1st,"Kirti Nagar, Delhi","₹ 7,00,000"
Mercedes-Benz M-Class (2015),DIESEL,54000.0 KM,1st,"Kalkaji, Delhi","₹ 27,25,000"
Hyundai Santa Fe (2014),DIESEL,65000.0 KM,1st,"Kalkaji, Delhi","₹ 12,50,000"
Maruti Suzuki Vitara Brezza (2018),DIESEL,39000.0 KM,1st,"Greater Kailash, Delhi","₹ 8,35,000"
Ford Ecosport (2014),PETROL,65000.0 KM,1st,"Ramesh Nagar, Delhi","₹ 5,10,000"
